,Unnamed: 0,expt_n,environment,environment_info,data_file,model_file,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file_tested
10,10,10,SS,PHM C06 simple (NT) LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_LowNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.969763072,0.82,0.887768295,0.934949652,0.031997936,0.067494856,0.04991456,0.038093717,0.544281046,0.58,0.558610179,0.549244463,0.091745376,0.143759058,0.110905204,0.097651363,0.283333333,0.025,0.045492189,0.090029762,0.41611074,0.035355339,0.064341669,0.127454583,0.49278915,0.535,0.508058188,0.497300986,0.067389242,0.156436,0.113327656,0.08658418,models/RF_Model_PHM_C06_SS_LowNBD.mdl
11,11,11,SS,PHM C06 simple (NT) HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_HighNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.666565373,0.905,0.766467072,0.703033792,0.040106421,0.076194196,0.045265057,0.040345776,0.427863248,0.205,0.274450148,0.347864635,0.141588426,0.086442017,0.104357505,0.121720257,0.506614509,0.99,0.670114943,0.56139258,0.011205848,0.021081851,0.010904406,0.011073156,0.469439946,0.34,0.390886191,0.433182004,0.093275726,0.1197219,0.107177017,0.097690994,models/RF_Model_PHM_C06_SS_HighNBD.mdl
12,12,12,MS,PHM C01 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_MS_NoNBD.mdl,PHM_C01_MS,Separate test set.,40,10,results/Fbeta,,100,70,0.774364551,0.82,0.793027256,0.780997757,0.045275468,0.085634884,0.033857748,0.032858436,0.513845938,0.585,0.54462308,0.5251893,0.051118706,0.097325342,0.063828685,0.053305406,0.25,0.025,0.044701675,0.085565476,0.362177911,0.035355339,0.062502927,0.117448021,0.519212347,0.55,0.531903291,0.523709329,0.072757183,0.122474487,0.090346412,0.077803905,models/RF_Model_PHM_C01_MS_NoNBD.mdl
13,13,13,MS,PHM C04 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_MS_NoNBD.mdl,PHM_C04_MS,Separate test set.,40,10,results/Fbeta,,100,70,0.74753273,0.645,0.685731275,0.719048393,0.093188602,0.12349089,0.093208231,0.08331354,0.536126984,0.65,0.585744117,0.554567372,0.05160633,0.084983659,0.056300437,0.051047252,0.5,0.045,0.081498212,0.159970238,0.527046277,0.055025247,0.097689779,0.184309338,0.488324268,0.555,0.516722457,0.498704603,0.068479094,0.116547558,0.083365954,0.072231836,models/RF_Model_PHM_C04_MS_NoNBD.mdl
14,14,1,MS,PHM C06 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_MS_NoNBD.mdl,PHM_C06_MS,Separate test set.,40,10,results/C06MS,,100,70,1.0,0.73,0.843697479,0.930921053,0.0,0.025819889,0.017357909,0.008493385,0.455709402,0.515,0.482212267,0.465667484,0.047987342,0.091439111,0.065582346,0.053998906,0.501282051,0.98,0.663136289,0.555502021,0.007277516,0.034960295,0.012204002,0.00832832,0.524819625,0.215,0.303522432,0.405133929,0.154258062,0.070906825,0.094611247,0.121000867,models/RF_Model_PHM_C06_MS_NoNBD.mdl
0,0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.993333333,0.68,0.805672693,0.908002543,0.021081851,0.063245553,0.043960568,0.025093203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49608637,0.975,0.65752971,0.550108645,0.010710599,0.035355339,0.016866333,0.012537213,0.512738179,0.49,0.500234795,0.507430556,0.123219676,0.126491106,0.122969968,0.122574658,models/RF_Model_Dasic_NoNBD.mdl
1,1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.952670807,0.965,0.958138953,0.954702381,0.04209853,0.024152295,0.022626896,0.033575881,0.490366541,0.485,0.483915813,0.486881441,0.098421609,0.122587837,0.102144919,0.098018358,0.5,0.035,0.064935065,0.133928571,0.471404521,0.033747428,0.062032281,0.12568313,0.594052675,0.585,0.585251988,0.589551675,0.100082552,0.097325342,0.079590936,0.08846708,models/RF_Model_Dasic_LowNBD.mdl
2,2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.848891869,0.975,0.907144822,0.871182178,0.031503135,0.026352314,0.020864503,0.026610622,0.391439394,0.18,0.243041221,0.310760073,0.152176608,0.097752522,0.122809537,0.141962526,0.498579349,0.97,0.658499698,0.552211274,0.015982854,0.048304589,0.023934586,0.018334628,0.626972702,0.62,0.621103997,0.623982333,0.083114525,0.111055542,0.088934241,0.082484012,models/RF_Model_Dasic_HighNBD.mdl
3,3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.836294466,0.985,0.904072284,0.862051861,0.03988491,0.024152295,0.026809943,0.034655412,0.486469609,0.33,0.392022553,0.443201461,0.143366267,0.105934991,0.120331147,0.132418821,0.166666667,0.015,0.026915114,0.052083333,0.36004115,0.033747428,0.059695345,0.112512859,0.575969994,0.69,0.62485555,0.593991579,0.069586556,0.102198065,0.070843749,0.067326305,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.916125792,0.86,0.885796088,0.903372759,0.031986643,0.06146363,0.035513444,0.027558358,0.523051465,0.615,0.561192445,0.53686938,0.059120854,0.105540935,0.065869204,0.058379308,0.498504274,0.975,0.65956486,0.552453241,0.011748899,0.048591266,0.02091493,0.014417017,0.4801221,0.325,0.384336472,0.435104625,0.031710101,0.071686044,0.058114956,0.04244253,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.748881975,0.89,0.811873764,0.77258359,0.059919181,0.039440532,0.038380245,0.051134994,0.500567262,0.48,0.488219047,0.495104798,0.08573661,0.085634884,0.079411437,0.081677123,0.416666667,0.03,0.055053642,0.111607143,0.466468212,0.034960295,0.062726974,0.122561003,0.499484127,0.22,0.301482439,0.392360213,0.134921419,0.088819417,0.105337092,0.117711354,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.809395011,0.96,0.87734404,0.835088687,0.057503462,0.045946829,0.044291337,0.051732418,0.519866771,0.655,0.578316853,0.541543148,0.053825744,0.072456884,0.053951415,0.052777081,0.103174603,0.035,0.051969742,0.073728355,0.090952981,0.033747428,0.048502047,0.06669386,0.333333333,0.085,0.133956044,0.207022145,0.255917618,0.066874675,0.102440757,0.155763526,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.712916123,0.97,0.821128467,0.752475533,0.049702609,0.034960295,0.039864025,0.046140669,0.459960317,0.4,0.425010257,0.444361505,0.086707626,0.081649658,0.076481088,0.079369327,0.2,0.015,0.027705628,0.056547619,0.421637021,0.033747428,0.061870948,0.124265605,0.503054481,0.475,0.485917382,0.49534632,0.080445391,0.141911553,0.109966126,0.091593064,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.801552042,0.88,0.837851532,0.815461068,0.060965006,0.075277265,0.059648398,0.058812599,0.498648649,0.975,0.659768064,0.552624459,0.011306571,0.035355339,0.017225302,0.013052557,0.509176788,0.99,0.672413793,0.563931466,0.01385851,0.021081851,0.015467891,0.01445261,0.54976248,0.625,0.582793077,0.562059394,0.066565417,0.079056942,0.062311566,0.062917663,models/RF_Model_PHM_C04_SS_HighNBD.mdl
9,9,9,SS,PHM C06 simple (NT) NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_NoNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,1.0,0.655,0.786800096,0.900115638,0.0,0.109163486,0.079949138,0.042358436,0.463110774,0.46,0.460155627,0.461588941,0.068739786,0.080966385,0.070197308,0.068102847,0.498513696,0.965,0.657332841,0.551838988,0.015645474,0.047434165,0.024107498,0.018227624,0.528643947,0.575,0.547683476,0.535421531,0.098730409,0.111180534,0.096472216,0.096164474,models/RF_Model_PHM_C06_SS_NoNBD.mdl
10,10,10,SS,PHM C06 simple (NT) LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_LowNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.971111111,0.875,0.919541161,0.949501812,0.040300653,0.082495791,0.061547596,0.047975547,0.509109906,0.55,0.525779779,0.515032886,0.084823542,0.11055416,0.085154957,0.082387809,0.498717949,0.985,0.662127411,0.553338619,0.007277516,0.024152295,0.0109299,0.008292584,0.406652237,0.185,0.249720468,0.321506865,0.144033861,0.102875329,0.119691724,0.131541988,models/RF_Model_PHM_C06_SS_LowNBD.mdl
11,11,11,SS,PHM C06 simple (NT) HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_SS_HighNBD.mdl,PHM_C06_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.697924298,0.93,0.796839757,0.734298522,0.04086749,0.048304589,0.038426537,0.039475224,0.520254419,0.605,0.558092768,0.534487984,0.052668727,0.079756574,0.057856159,0.053020209,0.3,0.025,0.045887446,0.092261905,0.421637021,0.035355339,0.064636157,0.128930092,0.429344544,0.295,0.345873293,0.389992429,0.159147482,0.138343373,0.143078343,0.150317367,models/RF_Model_PHM_C06_SS_HighNBD.mdl
12,12,12,MS,PHM C01 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_MS_NoNBD.mdl,PHM_C01_MS,Separate test set.,40,10,results/Fbeta,,100,70,0.851556089,0.935,0.888405475,0.865395738,0.094738924,0.066874675,0.067613837,0.08354577,0.1,0.005,0.00952381,0.020833333,0.316227766,0.015811388,0.03011693,0.065880785,0.3,0.02,0.037229437,0.077380952,0.483045892,0.034960295,0.064410257,0.131012492,0.588293651,0.215,0.300820444,0.409933816,0.205659651,0.122587837,0.13236556,0.134169394,models/RF_Model_PHM_C01_MS_NoNBD.mdl
13,13,13,MS,PHM C04 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_MS_NoNBD.mdl,PHM_C04_MS,Separate test set.,40,10,results/Fbeta,,100,70,0.775323862,0.735,0.753183578,0.765952381,0.111426197,0.113161635,0.107422299,0.108595137,0.456565657,0.18,0.250672897,0.336012956,0.122189986,0.09486833,0.112068811,0.119724554,0.944047619,0.26,0.405250305,0.613247863,0.093914412,0.031622777,0.034935005,0.03683206,0.375533911,0.135,0.194608744,0.269596549,0.130550994,0.078351062,0.099583084,0.11630877,models/RF_Model_PHM_C04_MS_NoNBD.mdl
14,14,1,MS,PHM C06 complex multi-variate state NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,models/RF_Model_PHM_C06_MS_NoNBD.mdl,PHM_C06_MS,Separate test set.,40,10,results/C06MS,,100,70,1.0,0.75,0.856582633,0.937030075,0.0,0.040824829,0.026687251,0.012796127,0.497435897,0.98,0.659887006,0.551767677,0.010112957,0.025819889,0.01429278,0.011410304,0.25,0.015,0.028138528,0.05952381,0.424918293,0.024152295,0.045322652,0.096184124,0.462349194,0.4,0.426720628,0.446756952,0.11618433,0.131233465,0.120384641,0.116473087,models/RF_Model_PHM_C06_MS_NoNBD.mdl
0,0,0,SS,Simulated Dasic 2006 - simple (NT) state - NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_NoNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.655,0.790531022,0.903704958,0.0,0.049721446,0.037362758,0.020078345,0.540146602,0.515,0.52484011,0.533328366,0.106155796,0.143468928,0.120441521,0.110582538,0.216666667,0.02,0.036006023,0.069940476,0.368932394,0.034960295,0.062018069,0.117393015,0.5846337,0.38,0.458649414,0.525827743,0.081441992,0.085634884,0.08583139,0.083307013,models/RF_Model_Dasic_NoNBD.mdl
1,1,1,SS,Simulated Dasic 2006 - simple (NT) state - LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_LowNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.960858966,0.945,0.952145044,0.9571815,0.05065667,0.049721446,0.042031187,0.04542281,0.386522367,0.17,0.23252174,0.302768613,0.071996315,0.042163702,0.044025761,0.048437429,0.283333333,0.025,0.043523144,0.082251082,0.41611074,0.035355339,0.058813312,0.106819577,0.43047619,0.13,0.195438516,0.285368104,0.210111609,0.08232726,0.113645038,0.149951379,models/RF_Model_Dasic_LowNBD.mdl
2,2,2,SS,Simulated Dasic 2006 - simple (NT) state - HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,models/RF_Model_Dasic_HighNBD.mdl,Dasic_SS_NT,Separate test set.,40,10,results/Fbeta,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.903113812,0.965,0.932091299,0.914276302,0.02966519,0.047434165,0.023958726,0.023651028,0.524943689,0.5,0.510311244,0.518488595,0.112644742,0.11785113,0.111778389,0.111215,0.498650472,0.985,0.662049484,0.55326521,0.00965329,0.033747428,0.015493715,0.011356211,0.436547619,0.14,0.209363858,0.301486014,0.103196045,0.056764621,0.074233153,0.089235036,models/RF_Model_Dasic_HighNBD.mdl
3,3,3,SS,PHM C01 simple (NT) NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_NoNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.879356643,0.96,0.916857628,0.89375014,0.046582341,0.031622777,0.024097814,0.036594197,0.511119977,0.665,0.573865339,0.533592133,0.071791882,0.137537874,0.088215481,0.07417524,0.498510049,0.97,0.658480216,0.552158839,0.020176553,0.053748385,0.029421289,0.023054119,0.508950531,0.61,0.552661073,0.525142902,0.088410258,0.132916014,0.103132874,0.092930378,models/RF_Model_PHM_C01_SS_NoNBD.mdl
4,4,4,SS,PHM C01 simple (NT) LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_LowNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.956861472,0.955,0.95480666,0.955754015,0.034577737,0.043779752,0.020483012,0.024121418,0.500247506,0.49,0.492436046,0.496348765,0.053185809,0.073786479,0.052677242,0.048583504,0.506477733,0.985,0.668926554,0.560965762,0.011028943,0.024152295,0.013996246,0.01193801,0.517741469,0.495,0.502672981,0.510612731,0.054351793,0.089597867,0.058625536,0.049609241,models/RF_Model_PHM_C01_SS_LowNBD.mdl
5,5,5,SS,PHM C01 simple (NT) HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,models/RF_Model_PHM_C01_SS_HighNBD.mdl,PHM_C01_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.822401656,0.895,0.856726089,0.835701058,0.039505958,0.028382311,0.028452009,0.034528523,0.520020379,0.76,0.6158416,0.554286897,0.033679776,0.080966385,0.040713119,0.034140764,0.493522267,0.97,0.654139879,0.547267735,0.009225612,0.034960295,0.015666405,0.011126143,0.347803912,0.21,0.257694672,0.302877715,0.120784033,0.096609178,0.102977204,0.109677119,models/RF_Model_PHM_C01_SS_HighNBD.mdl
6,6,6,SS,PHM C04 simple (NT) NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_NoNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.858406362,0.975,0.911947499,0.878836119,0.052377125,0.026352314,0.029575285,0.043210594,0.508035161,0.975,0.667874537,0.561805765,0.014064713,0.026352314,0.015604303,0.014520535,0.25,0.02,0.036796537,0.074404762,0.424918293,0.034960295,0.06399024,0.128010793,0.532410565,0.575,0.551501954,0.539586231,0.083208796,0.088975652,0.07970851,0.080593962,models/RF_Model_PHM_C04_SS_NoNBD.mdl
7,7,7,SS,PHM C04 simple (NT) LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_LowNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.737264663,0.965,0.835388341,0.773528253,0.02207633,0.04116363,0.021270788,0.020336604,0.033333333,0.005,0.008695652,0.015625,0.105409255,0.015811388,0.027498067,0.049410588,0.35,0.025,0.046320346,0.095238095,0.474341649,0.035355339,0.064984749,0.131462451,0.413730159,0.125,0.189224384,0.277570346,0.187853807,0.048591266,0.07096388,0.107594396,models/RF_Model_PHM_C04_SS_LowNBD.mdl
8,8,8,SS,PHM C04 simple (NT) HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,models/RF_Model_PHM_C04_SS_HighNBD.mdl,PHM_C04_SS_NT,Separate test set.,40,10,results/Fbeta,,100,70,0.842522907,0.8,0.819688176,0.832981902,0.040235073,0.066666667,0.045653456,0.03943609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498717949,0.985,0.662127411,0.553338619,0.007277516,0.024152295,0.0109299,0.008292584,0.425074786,0.33,0.368183527,0.399173923,0.124438659,0.131656118,0.126599277,0.124391327,models/RF_Model_PHM_C04_SS_HighNBD.mdl
